text,pages,sections
"situation of the coastal areas and suggest changes. Meuron commission after the name of Brigadier General De Meuron who headed  Governance of the Coastal Areas under the East Indian Trade Company When the Portuguese and the Dutch ruled the coastal belt of Sri Lanka, they had",[34],['coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.']
Some proposals of the Meuron Commission; organized the administration well using native officers as much as possible. Replacing the madras tax collecting officers with local officers. the English Trade Company did not understand this.,[34],['coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.']
officers from the Madras government and governed the parts they captured under This lasted from 1796 to 1798. A Resident was appointed to Sri Lanka under the Madras administration to rule the A group of assistant supervisors was appointed under the,[35],"['coastal areas of Sri Lanka. A group of assistant supervisors was appointed under the', 'coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.']"
Resident to collect income and they were named as collectors. That was how the Kachcheri system was started in Sri Another group of officers was appointed in assistance to the collectors who More officers were there to help the Avumildars and all,[35],"['Lanka. Another group of officers was appointed in assistance to the collectors who', 'coastal areas of Sri Lanka. A group of assistant supervisors was appointed under the']"
"these groups were engaged in collecting income under the supervision of collectors. The local officers like Mudliers were ignored in the English administration. were brought from Madras for the above posts and those who came from Madras did not have any knowledge about the local languages, culture and traditions.",[35],['Lanka. Another group of officers was appointed in assistance to the collectors who']
"relationship between the general public and the administrative officers became distanced because such a group of officers was appointed for the civil administration, legal system and income collection. The India Trade Company had spent a lot of money in capturing the coastal belt of",[35],"['Lanka. Another group of officers was appointed in assistance to the collectors who', 'legal system and income collection.']"
Another significant feature of the British administration is their attempts to cover the above mentioned cost and to achieve fast profits. new taxes in the coastal areas to meet the above target. were in trouble when they had to pay those taxes in cash.,[35],['legal system and income collection.']
"newly introduced ‘tax on coconut trees.’ Thus, someone who owned more than 10 coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree. People were irritated because the tax was charged without considering the nature of the harvest and they had to pay it in cash.",[35],"['coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.', 'legal system and income collection.']"
This soon became an insurgency due to the repugnance of the general public towards the new administration. that began in 1797 against the India Trade Company extended to all coastal areas This was suppressed after much effort by the British.,[35],['coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.']
"evidence to the fact that there was much resistance to the English administration Therefore, a commission was appointed to look into the situation of the coastal areas and suggest changes. Meuron commission after the name of Brigadier General De Meuron who headed",[35],['coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.']
Some proposals of the Meuron Commission; Replacing the madras tax collecting officers with local officers. Removal of new taxes including the tax on coconut trees. Appointing officers for legal affairs and income collection separately.,"[35, 36]",['coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.']
"Re-establishment of the Dutch court system. A change occurred in the English administration of the coastal areas of this country Thus, the British government appointed a governor for the administrative and political affairs.",[36],['coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.']
"That is how the governor, Fredric North came to Still, it was the Trade Company that was in charge of collecting income to cover up the expenditure incurred by the English Trade Company, in capturing the coastal areas of Sri Lanka.",[36],['coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.']
The governor is responsible for the British crown and should follow the instructions of the board of directors of the Trade company. This system of administration was known as ‘dual administration.’ This system The officers of the Trade Company in Sri Lanka,[36],"['coconut trees had to pay a tax of one silver panam (six cents) for each coconut tree.', 'continued from 1798 to 1802. The officers of the Trade Company in Sri Lanka']"
"did not give enough support to the governor, North. dual administration system, it was discontinued in 1802 and the coastal regions of Sri Lanka were declared a colony of the British crown. belonged to the British were directly governed by the British government.",[36],['continued from 1798 to 1802. The officers of the Trade Company in Sri Lanka']
"Build short questions and answers under the topic, “Conquering the Coastal Parts of Sri Lanka by the British.”  Conquering the Hill Country by the British There were two Nayakkar princes who were heirs to the throne by the time","[36, 37]","['continued from 1798 to 1802. The officers of the Trade Company in Sri Lanka', 'place of security']"
"King Rajadhirajasinghe died in 1798. One was Kannasami and the other was According to a plan of Pilimathalawe who was the ‘Maha Adikaram’ of the hill country kingdom, prince Kannasami was coronated as ‘Sri Wickrama",[37],['place of security']
"Rajasinghe.’ Then, prince Muththusami escaped to the English for protection. The British, soon after establishing their power in the coastal regions of the country, eyed on the hill country kingdom also.",[37],"['in the coastal regions of the country, eyed on', 'place of security']"
"governor, Fredric North is very significant here. He tried to get the consent of the hill country king to a treaty which was more advantageous He sent envoys to the hill country",[37],"['He tried to get the consent of the hill country', 'in the coastal regions of the country, eyed on', 'king to a treaty which was more advantageous']"
headed by Commander MacDowell in 1800. strengthened the convoy with 1164 soldiers and 8 cannons in order to display their military power and get the king’s consent to a treaty which was,[37],"['cannons in order to display their military power', 'king to a treaty which was more advantageous']"
Rajasinghe denied the permission of allowing such a massive army and cannons entering the Fig 2.4 – King Sri Wickrama upcountry. As a result the envoys had to enter the,[37],"['Rajasinghe denied the permission of allowing', 'such a massive army and cannons entering the']"
"kingdom alone leaving the soldiers and cannons Though MacDowell had discussions with the king and the other aristocrats, the king did not agree to the conditions of the British. mission became a complete failure.",[37],['kingdom alone leaving the soldiers and cannons']
"North was distressed because he could not get the sanction of the king. the independent government of the upcountry as a threat to their power in the Because the British had to employ a massive army for the security of the coastal areas and the protection of the inland territories, they were forced",[37],"['coastal regions. Because the British had to employ a massive army for the security', 'kingdom alone leaving the soldiers and cannons']"
Another problem they faced was that the general public of the coastal areas still accepted the upcountry king as their king too and when there were insurgencies the upcountry king helped the rebels. that if the upcountry king happened to request the support of the French who were,[37],"['coastal areas still accepted the upcountry king as their king too and when there', 'coastal regions. Because the British had to employ a massive army for the security']"
"the enemies of the British, that would be an added threat to their administration. On the other hand, the English wanted to have contact with Trincomalee which was their main naval centre from the administration centre of Colombo via land. They had to cross the territories of the upcountry in order to keep contact between",[37],['coastal areas still accepted the upcountry king as their king too and when there']
"The English wanted to build a road between these Owing to the above reasons, the British paid their attention to either conquering the upcountry or winning their good will.  Invasion of the Hill Country in 1803","[37, 38]","['Colombo and Trincomalee. The English wanted to build a road between these', 'conquering the upcountry or winning their good will.']"
"When MacDowell’s mission failed to give the expected results, the governor, North decided to invade the hill country. So, North sent two troops of soldiers to the hill country from Trincomalee and Colombo in January and February, 1803.",[38],['conquering the upcountry or winning their good will.']
"this invasion, which was headed by MacDowell, the British troops entered the hill King Sri Wickrama Rajasinghe and the citizens vacated the city as a security measure and started organizing themselves. named prince Muttusami who had been brought to the upcountry with them as the",[38],"['conquering the upcountry or winning their good will.', 'country on 21st of February. King Sri Wickrama Rajasinghe and the citizens vacated']"
"But, the people of upcountry started to get together with king Sri Wickrama Rajasinghe and prepared for the war ignoring Muttusami. The British had to face unexpected difficulties with the beginning of the rainy season because epidemics started spreading among the British troops.",[38],['country on 21st of February. King Sri Wickrama Rajasinghe and the citizens vacated']
"a result of the upcountry people blocking all supply means, the English suffered due to lack of food and difficulty of communication with Colombo. suffered heavy losses under the timely attacks of the upcountry people. to let their puppet ruler, prince Muttusami to be captured by the upcountry people,",[38],['country on 21st of February. King Sri Wickrama Rajasinghe and the citizens vacated']
"provides evidence to the seriousness of the defeat the British experienced. Before this attack, the governor North did not have a clear understanding about Yet, when his invasion ended in defeat, he understood that the upcountry kingdom is strong and it cannot be overpowered by such attacks.",[38],['country on 21st of February. King Sri Wickrama Rajasinghe and the citizens vacated']
the British moved into a highly tactful policy regarding the hill country after the  Invasion of the Hill Country in 1815 Thomas Maitland was appointed the governor of Sri Lanka at the end of the governor North’s session of duty in 1805.,[38],"['country on 21st of February. King Sri Wickrama Rajasinghe and the citizens vacated', 'invasion of 1803.']"
"Unlike North, he did not hasten to invade the hill country; instead moved into a strategic policy and started carefully laying the platform for a future invasion. He employed an efficient civil servant named",[38],['invasion of 1803.']
John D'Oyly was a graduate of the Cambridge University. the local culture after coming to Sri Lanka unlike the others who looked down upon He engaged himself in studies under the Buddhist monks like Rev. was capable of composing poems in contest to Gajaman Nona.,"[38, 39]","['invasion of 1803.', 'it. He engaged himself in studies under the Buddhist monks like Rev. Korathota']"
excellent knowledge about local customs was in the habit of chewing betel also. a result he was capable of winning the hearts of not only the general public but also the aristocrats of the hill country. D'Oyly completed his duty successfully using his,[39],['it. He engaged himself in studies under the Buddhist monks like Rev. Korathota']
sharp intelligence and talents. Fig 2.5 – John D'Oyly with the hill country aristocrats John D'Oyly worked hard to cultivate secret connections with the upcountry aristocrats and tried to win them towards the English people.,[39],['it. He engaged himself in studies under the Buddhist monks like Rev. Korathota']
"to send spies in the disguise of sellers and palm readers and got them to gather all information about the internal affairs of the kingdom. find out information about the internal security of the hill country, which all other It was Robert Brownrigg that became the governor",[39],"['information about the internal affairs of the kingdom. As a result he was able to', 'it. He engaged himself in studies under the Buddhist monks like Rev. Korathota']"
of Sri Lanka after Maitland who took the advantage of the conditions created by Maitland and D'Oyly and took further steps to capture the hill country. It was not only the strategies of the British that paved the way to the falling of the hill country to the hands of the British.,[39],"['It was not only the strategies of the British that paved the way to the falling of', 'information about the internal affairs of the kingdom. As a result he was able to']"
A number of other situations that accelerated the downfall of the hill country had been created during the reign of The king who was very young and inexperienced seemed to have taken decisions following the advice of his Nayakkar relations.,[39],['It was not only the strategies of the British that paved the way to the falling of']
last two Maha Adhikarams of the hill country had had disagreements with the Pilimathalawwe Maha Adhikaram who worked to offer the throne to the king too was sentenced to death by the king as a result of the problems they had with There were incongruities between Ehalepola Adhikaram who was the,[39],['last two Maha Adhikarams of the hill country had had disagreements with the']
"successor of Pilimathalawwe Maha Adhikaram and the king. During the reign of King Sri Wickrama Rajasinghe, disparities among the aristocrats As a result, the majority of the aristocrats worked against the king. were the group that acted as the leaders in organizing the general public to protect","[39, 40]","['increased. As a result, the majority of the aristocrats worked against the king. They', 'last two Maha Adhikarams of the hill country had had disagreements with the']"
the king and the kingdom during the early invasions of the Europeans. The relationship between the king and the monks had also been broken because several monks had been killed during that time. The bond between the king and the,[40],"['increased. As a result, the majority of the aristocrats worked against the king. They']"
"people had also been broken due to some decisions the king made during the last The king prohibited staying in the city at night for the people who had come from regions like Sabaragamuwa, Sath Korala and Sathara Korala for the services like extending the Bogambara tank, building the ‘Paththirippu’",[40],"['increased. As a result, the majority of the aristocrats worked against the king. They']"
"(the octagon) and renovations of the Kandy city. Therefore, they faced a number of Fig 2.6 – The monument established in Medamahanuwara, at the place where King Sri Wickrama Rajasinghe was arrested",[40],"['increased. As a result, the majority of the aristocrats worked against the king. They']"
"Though the rebellion against the king that arose in Sabaragamuwa could have been, easily suppressed more than 100 individuals were killed in it. king ordered to brutally massacre the wife and the children of Ehalepola because he  Upcountry Treaty – 1815 could not be arrested after the rebellion.",[40],"['could not be arrested after the rebellion. These inhuman acts of the king had created', 'increased. As a result, the majority of the aristocrats worked against the king. They']"
"These inhuman acts of the king had created On the 2nd of March, 1815 a treaty was signed between the aristocrats representing a wide gap between the king and the people of the country by 1815. the upcountry people and the governor, Brownrigg representing the British",[40],['could not be arrested after the rebellion. These inhuman acts of the king had created']
"Whenever the Europeans invaded the upcountry, the aristocrats and the general government at the royal courts (Magul Maduwa), about the yielding of upcountry public sacrificed their lives to protect the king. The same human shield that guarded kingdom. This is known as the upcountry treaty.",[40],['could not be arrested after the rebellion. These inhuman acts of the king had created']
"the upcountry kingdom turned against the king because of his own deeds. result the king was at danger in his own kingdom and this became an advantage to The governor, Brownrigg took advantage of this situation and when he invaded the upcountry in January 1815, people did not come forward to protect the",[40],"['could not be arrested after the rebellion. These inhuman acts of the king had created', 'invaded the upcountry in January 1815, people did not come forward to protect the']"
The governor had spread messages among the upcountry people saying that their real enemy was not the British people but the king himself and the invasion is really for the sake of the upcountry people. King Sri Wickrama Rajasinghe gave up the Kandy city and escaped to a secure,[40],"['invaded the upcountry in January 1815, people did not come forward to protect the']"
place as the British invaded the upcountry. The upcountry people themselves surrounded the place where the king was hiding which was in ‘Medamahanuwara.’ Fig 2.7 – The moment when Rev.,[40],"['invaded the upcountry in January 1815, people did not come forward to protect the']"
Wariyapola Sri Sumangala thero They captured the king and the queens and handed them over to the British on hoisted the Sri Lankan national flag dragging down the English flag The British were able to record a victory that any other,[40],"['invaded the upcountry in January 1815, people did not come forward to protect the']"
"European nation could not record in the hill country with this arrest of the king. Wariyapola Sri Sumangala thero dragged down the English But, the British did not think that they captured the whole upcountry just because flag and hoisted the Sri Lankan flag when some Englishman hoisted their flag before",[40],"['invaded the upcountry in January 1815, people did not come forward to protect the']"
"They could arrest the king because they were supported by the the treaty was signed after the statements of the treaty were read and explained on Therefore, the British took steps to sign a treaty with the aristocrats and the 2nd of March in the royal courts.",[40],"['invaded the upcountry in January 1815, people did not come forward to protect the']"
"Some records say that the governor, Brownrigg complete the process of capturing the whole of the upcountry. and some aristocrats signed the treaty on the 10th of March. Fig 2.6 – The monument established in Medamahanuwara, at the","[40, 41]","['complete the process of capturing the whole of the upcountry.', 'invaded the upcountry in January 1815, people did not come forward to protect the']"
"place where King Sri Wickrama Rajasinghe was arrested On the 2nd of March, 1815 a treaty was signed between the aristocrats representing the upcountry people and the governor, Brownrigg representing the British government at the royal courts (Magul Maduwa), about the yielding of upcountry",[41],['complete the process of capturing the whole of the upcountry.']
This is known as the upcountry treaty. Fig 2.7 – The moment when Rev. Wariyapola Sri Sumangala thero hoisted the Sri Lankan national flag dragging down the English flag,[41],['complete the process of capturing the whole of the upcountry.']
Wariyapola Sri Sumangala thero dragged down the English flag and hoisted the Sri Lankan flag when some Englishman hoisted their flag before the treaty was signed after the statements of the treaty were read and explained on the 2nd of March in the royal courts.,[41],['complete the process of capturing the whole of the upcountry.']
"Some records say that the governor, Brownrigg and some aristocrats signed the treaty on the 10th of March. The upcountry treaty is an important historical document that officially accepted Therefore they became the first freedom struggles that arose against the British the surrendering of the upcountry kingdom to the British.","[41, 42]",['complete the process of capturing the whole of the upcountry.']
From the first three administration. Let’s now discuss the struggle of 1818. statements of the treaty King Sri Wickrama Rajasinghe and his relations were  The Struggle for Freedom in 1818,[42],['complete the process of capturing the whole of the upcountry.']
"stripped off of their rights to the upcountry kingdom. that the upcountry kingdom surrendered to the English government and further The armed insurgencies against the English government that existed from September, informed that they would govern the country in such a way that the rights and 1817 to October 1818 in the hill country were called as the Struggle for Freedom in privileges of the traditional aristocrats of the upcountry are protected.",[42],"['complete the process of capturing the whole of the upcountry.', 'informed that they would govern the country in such a way that the rights and 1817 to October 1818 in the hill country were called as the Struggle for Freedom in']"
"The aristocrats and the general public moved to such a struggle even before statement promised the continuation of Buddhism and Devagam and the protection three years after the English administration started because of the dissatisfaction of monks, temples and devalas. The other statements explained how they expected they had about the ruling system.",[42],['informed that they would govern the country in such a way that the rights and 1817 to October 1818 in the hill country were called as the Struggle for Freedom in']
This proves that there had been several reasons to conduct the judiciary system of the upcountry. that encouraged the hill country people for the 1818 struggle. With this treaty Sri Lanka completely lost its sovereignty which lasted unbroken,[42],['informed that they would govern the country in such a way that the rights and 1817 to October 1818 in the hill country were called as the Struggle for Freedom in']
 Reasons for the 1818 Struggle for more than 20 years and became a colony of a foreign country. started enjoying the power vested upon them by the treaty and appointed John The regret of the loss of a king and the freedom. D'oyly as a residential representative of the governor for regional affairs.,[42],['informed that they would govern the country in such a way that the rights and 1817 to October 1818 in the hill country were called as the Struggle for Freedom in']
was opened in Kandy and a group of officers was appointed to assist him. The It is clear that the people of the upcountry had grievances over the loss of freedom English government offered positions for the aristocrats who agreed to serve under they enjoyed under a ruling system of their own even during the times when the low Thus the people of the upcountry who used to enjoy country was governed by the Portuguese and the Dutch.,[42],['informed that they would govern the country in such a way that the rights and 1817 to October 1818 in the hill country were called as the Struggle for Freedom in']
"an independent ruling system for more than three centuries had to live under an Even though it was announced after the colonization that the king of Britain was administration system run by a group of foreign rulers. the king of the upcountry also; the people of the hill country had never seen the so They wanted a king who lived in their capital city, who could listen to",[42],"['called king. They wanted a king who lived in their capital city, who could listen to', 'informed that they would govern the country in such a way that the rights and 1817 to October 1818 in the hill country were called as the Struggle for Freedom in']"
their grievances and give solutions to them instead of a never seen king who lived  ACTIVITY 4 in a country thousands of miles away. Because they could not see a king they tend to believe that the country was throneless.,[42],"['called king. They wanted a king who lived in their capital city, who could listen to']"
The following two poems believed to be Prepare a book of short questions for the following headings. composed by a monk who lived those days displaying the distress they had because • The background of the British arrival to Asia they did not have a king.,[42],"['called king. They wanted a king who lived in their capital city, who could listen to', 'composed by a monk who lived those days displaying the distress they had because']"
• The British paying attention to Sri Lanka • The British establishing power in Sri Lanka Protests against Foreign Domination Although the people of the upcountry could escape the obstinate ruling of King,[42],"['2.4. Protests against Foreign Domination', 'composed by a monk who lived those days displaying the distress they had because', 'this is our destiny']"
"Sri Wickrama Rajasinghe with the arrival of the British to the hill country in 1815, they did not have any partiality to the administration system that continued They, in no time understood that they had lost the independence that to celebrate with milk rice they protected by fighting and sacrificing their lives against the European invaders respect with pageants",[42],"['1815, they did not have any partiality to the administration system that continued', 'this is our destiny']"
"like the Portuguese and the Dutch. Therefore, they rose against the English in 1818 and 1848 using their traditional ways of attack. The natives called them as attempts",[42],"['chant with “sadu sadu”', 'like the Portuguese and the Dutch. Therefore, they rose against the English in 1818']"
to win the lost independence back by chasing the foreigners away from the hill country whereas the British interpreted them as rebellions against the government. Therefore they became the first freedom struggles that arose against the British Let’s now discuss the struggle of 1818.,"[42, 43]","['Sri Wikrama Rajasinghe', 'chant with “sadu sadu”', 'country whereas the British interpreted them as rebellions against the government.']"
" The Struggle for Freedom in 1818 The armed insurgencies against the English government that existed from September, 1817 to October 1818 in the hill country were called as the Struggle for Freedom in The aristocrats and the general public moved to such a struggle even before",[43],"['1817 to October 1818 in the hill country were called as the Struggle for Freedom in', '1818. The aristocrats and the general public moved to such a struggle even before', 'Sri Wikrama Rajasinghe']"
three years after the English administration started because of the dissatisfaction they had about the ruling system. This proves that there had been several reasons that encouraged the hill country people for the 1818 struggle.,[43],['1818. The aristocrats and the general public moved to such a struggle even before']
 Reasons for the 1818 Struggle The regret of the loss of a king and the freedom. It is clear that the people of the upcountry had grievances over the loss of freedom they enjoyed under a ruling system of their own even during the times when the low,[43],"['1818. The aristocrats and the general public moved to such a struggle even before', 'It is clear that the people of the upcountry had grievances over the loss of freedom']"
"country was governed by the Portuguese and the Dutch. Even though it was announced after the colonization that the king of Britain was the king of the upcountry also; the people of the hill country had never seen the so They wanted a king who lived in their capital city, who could listen to",[43],"['called king. They wanted a king who lived in their capital city, who could listen to', 'country was governed by the Portuguese and the Dutch.']"
their grievances and give solutions to them instead of a never seen king who lived in a country thousands of miles away. Because they could not see a king they tend to believe that the country was throneless.,[43],"['called king. They wanted a king who lived in their capital city, who could listen to', 'in a country thousands of miles away. Because they could not see a king they tend']"
The following two poems believed to be composed by a monk who lived those days displaying the distress they had because  Emergence of Problems about Religion and Culture The people of the hill country did not believe that a set of foreigners who are not,"[43, 44]","['Sri Wikrama Rajasinghe', 'composed by a monk who lived those days displaying the distress they had because', 'in a country thousands of miles away. Because they could not see a king they tend']"
"Buddhists would give the same protection that would be given by a Buddhist king although the English had promised in the 5th statement of the upcountry treaty to This is evident in the statements such as, conducting pageants Another example for this is the support of monks for the",[44],['Sri Wikrama Rajasinghe']
The people of the hill country suspected that their traditions and culture would be destroyed in the hands of foreigners. Under a traditional ruling system a king’s major duty was to protect the customs.,[44],['Sri Wikrama Rajasinghe']
"There were a number of traditions regarding the palace, courts and administration matters. Uniforms were designed for each post under the old administration in a way that they were honoured and respected.",[44],['Sri Wikrama Rajasinghe']
"But, the English soldiers who came to the Kandy city did not follow those traditions. As a result, a gap was created between the British and the people of the hill country religiously as well as culturally. This generated a desire for freedom in the hearts of",[44],['Sri Wikrama Rajasinghe']
" Attacks on the Upcountry Aristocrats Although the British continued with the traditional upcountry posts according to the 1815 treaty, the social status and the power of the aristocrats were not stable. They had complained to D'oyly that the British soldiers did not respect them.",[44],['Sri Wikrama Rajasinghe']
traditional earnings of the aristocrats too were challenged. is the loss of income the aristocrats suffered because the English cancelled the The British could change the traditional posts of the There was a tradition to always appoint a Sinhalese to the post,[44],"['Sri Wikrama Rajasinghe', 'is the loss of income the aristocrats suffered because the English cancelled the']"
"of ‘Madihe Mohandiram’ who was in charge of upcountry transport. breaking this tradition, appointed a Muslim called ‘Hajji Marikkar’ to this post. This created a distress among the aristocrats of Uva Wellassa. struggle because their privilege, status and earnings were attacked in many ways.",[44],['is the loss of income the aristocrats suffered because the English cancelled the']
"While there was a growing displeasure about the British administration among the upcountry people, a person called Doresami emerged from Wellassa who claimed The Badulla agent Douglas Wilson, came to know that he was gathering forces to regain the kingdom with the help of the local elite like",[44],['is the loss of income the aristocrats suffered because the English cancelled the']
"Hence, Douglas Wilson sent a platoon with Hajji Muhandiram to arrest Doresami. Yet, he was killed by the rebels. Wilson too was killed by an archer when he set out to arrest Doresami.","[44, 45]",['is the loss of income the aristocrats suffered because the English cancelled the']
"government noticed that the people of Wellassa were gathering around Doresami, they sent Kappetipola who was in charge of Uva to control the situation. Keppetipola returned the English troops that came with him and joined the rebels. This resulted in the fights spreading to many parts of the upcountry.",[45],['is the loss of income the aristocrats suffered because the English cancelled the']
"aristocrats, only Molligoda and Eknaligoda Disawe did not join the fights. Doresami was declared the upcountry king by the rebels under the guidance of Kappetipola Disawe was appointed the Mahaadikaram of the new king. Another problem the British faced was the Tooth Relic which was believed to be the",[45],['is the loss of income the aristocrats suffered because the English cancelled the']
symbol of the kingship falling into the hands of rebels. by the British because of the close kinship he had with the other aristocrats who were leading the struggle though he did not join the fights. arrested and brought to Colombo by the British.,[45],['is the loss of income the aristocrats suffered because the English cancelled the']
The British were too vicious in imposed martial law to the upcountry that were there in the coastal regions were summoned to the upcountry.,[45],"['The British were too vicious in', 'imposed martial law to the upcountry', 'that were there in the coastal regions']"
followed a land sweeping policy to wipe arresting as many men as possible and prosecuting under martial law were people could not persist with the battle,[45],"['arresting as many men as possible and', 'followed a land sweeping policy to wipe', 'people could not persist with the battle', 'prosecuting under martial law were']"
"in the face of the harsh retaliation of arrest several leaders of the battle. of those arrested were Maththamagoda, Kobbekaduwa, Dambawinna Disawe",[45],['in the face of the harsh retaliation of']
"and Galagedara Mohottala, Basnayaka Nilame of Katharagama, Butawe Rate The English spread news saying that the one who said to be the king in the battle",[45],"['The English spread news saying that the', 'in the face of the harsh retaliation of', 'one who said to be the king in the battle']"
"was not the real Doresami and he was not the real heir to the throne. disputes among the main leaders of the struggle such as Kappetipola, Madugalle By August and September of 1818, the battle had died down a  Struggle for Independence in 1848 The English were able to arrest Kappetipola and Madugalle in October.","[45, 46]","['lot. The English were able to arrest Kappetipola and Madugalle in October. They', 'one who said to be the king in the battle']"
"were sentenced to death by the court martial. They were executed by the British on In about 30 years following the failure of the 1818 struggle, there was another battle the 26th of November, 1818. against the British government. This struggle which tried for the second time to",[46],['lot. The English were able to arrest Kappetipola and Madugalle in October. They']
"reestablish the imperial system the upcountry people used to have, can be named as  Failure of the 1818 Battle and Its Effects the second armed battle for the independence. There were several reasons that led to the emergence of such a battle which began in 1848.",[46],['lot. The English were able to arrest Kappetipola and Madugalle in October. They']
"The rebellion spread fast within a few months after the beginning. forces chased away the rebels from one area by destroying property, the battle  Causes of the Battle Yet, the upcountry people failed to launch a combined There were two major factors that led to the 1848 struggle as the effects of the",[46],['lot. The English were able to arrest Kappetipola and Madugalle in October. They']
"attack when the English started a heavy retaliation with extra forces. Colebrooke reforms and the new tax policy of the government. advantage when it became possible for them to keep contact with Colombo via Sathara Korala because the in-charge of that area, Molligoda Nilame was partial to",[46],"['Colebrooke reforms and the new tax policy of the government.', 'lot. The English were able to arrest Kappetipola and Madugalle in October. They']"
" Effects of the Colebrooke Reforms Thus, there were several reasons for the loss of the battle. Land Policy of the Government  Reasons for the failure of the 1818 Battle:",[46],"['Colebrooke reforms and the new tax policy of the government.', 'can be summarized as follows.']"
"The government launched a policy of selling lands under the Colebrooke reforms  The heavy retaliation launched by the British which were started in 1833. The government land policy was problematic for the  Shortage experienced by the upcountry people, of weapons and other resources general public of the area because the land in the upcountry was rich and the",[46],['can be summarized as follows.']
"environment was conducive for coffee cultivation. that are needed for a long battle Act imposed in 1840, uncultivated lands that could not be proven of their continual  Disorganized nature of the battle",[46],"['can be summarized as follows.', 'that are needed for a long battle']"
"ownership for 30 years were confiscated. There were no legal documents to prove the  The exposure of the real identity of the person who claimed to be the heir to ownership of lands of the upcountry people that came to them from their descent. As a result, many of their Chena lands were taken back to the government.",[46],['that are needed for a long battle']
"government sold these lands for very cheaper prices to the foreigners. As a result of the battle for freedom, leaders like Ehelepola, Kappitipola, Madugalle people lost their lands and the cultivation was disturbed thus, they were distressed had to sacrifice their lives for the independence of the country.",[46],['that are needed for a long battle']
more aristocrats were confiscated. Some leaders who supported the battle were Those who went against the government were punished Discontinuation of “Gam Sabha”,[46],['that are needed for a long battle']
"thus whereas the other aristocrats like Molligoda, Eknaligoda who were partial to The existence of ‘Gam Sabha’ was challenged because the compulsory service system and the duty labour system were banned by the Colebrooke Commission. The British were able to strengthen their grip of the upcountry region because",[46],['that are needed for a long battle']
"The building and maintenance of lakes, bunds, canals and dams of each area were The governor, Brownrigg issued a special announcement strengthening his power in the upcountry on the 21st of November, 1818. This long done by the Gam Sabha (village council).",[46],['that are needed for a long battle']
"The major method the Gam Sabha got labour was the system called ""duty labour"". Yet, when this method was cancelled, document which consisted of 56 statements curtailed the power of the aristocrats.",[46],"['labour was the system called ""duty labour"". Yet, when this method was cancelled,', 'that are needed for a long battle']"
the Gam Sabha found it difficult to get necessary labour forces. Steps were taken to establish the English legal system in the upcountry reducing the did a good service by solving the minor problems in the area. legal power enjoyed by the aristocrats.,[46],"['labour was the system called ""duty labour"". Yet, when this method was cancelled,', 'legal power enjoyed by the aristocrats. It seems that the 1818 November document']"
It seems that the 1818 November document judiciary power due to the reforms in 1833. The villagers had to suffer due to such made the British power in the upcountry complete.,[46],['legal power enjoyed by the aristocrats. It seems that the 1818 November document']
" Struggle for Independence in 1848 In about 30 years following the failure of the 1818 struggle, there was another battle against the British government. This struggle which tried for the second time to",[47],"['In about 30 years following the failure of the 1818 struggle, there was another battle', 'legal power enjoyed by the aristocrats. It seems that the 1818 November document']"
"reestablish the imperial system the upcountry people used to have, can be named as the second armed battle for the independence. There were several reasons that led to the emergence of such a battle which began in 1848.",[47],"['In about 30 years following the failure of the 1818 struggle, there was another battle']"
There were two major factors that led to the 1848 struggle as the effects of the Colebrooke reforms and the new tax policy of the government.  Effects of the Colebrooke Reforms Land Policy of the Government,[47],"['Colebrooke reforms and the new tax policy of the government.', 'In about 30 years following the failure of the 1818 struggle, there was another battle']"
The government launched a policy of selling lands under the Colebrooke reforms The government land policy was problematic for the general public of the area because the land in the upcountry was rich and the environment was conducive for coffee cultivation.,[47],['Colebrooke reforms and the new tax policy of the government.']
"Act imposed in 1840, uncultivated lands that could not be proven of their continual ownership for 30 years were confiscated. There were no legal documents to prove the ownership of lands of the upcountry people that came to them from their descent.",[47],['Colebrooke reforms and the new tax policy of the government.']
"As a result, many of their Chena lands were taken back to the government. government sold these lands for very cheaper prices to the foreigners. people lost their lands and the cultivation was disturbed thus, they were distressed Discontinuation of “Gam Sabha”",[47],['Colebrooke reforms and the new tax policy of the government.']
"The existence of ‘Gam Sabha’ was challenged because the compulsory service system and the duty labour system were banned by the Colebrooke Commission. The building and maintenance of lakes, bunds, canals and dams of each area were done by the Gam Sabha (village council).",[47],['Colebrooke reforms and the new tax policy of the government.']
"The major method the Gam Sabha got labour was the system called ""duty labour"". Yet, when this method was cancelled, the Gam Sabha found it difficult to get necessary labour forces.",[47],"['Colebrooke reforms and the new tax policy of the government.', 'labour was the system called ""duty labour"". Yet, when this method was cancelled,']"
